Empresa,Repositorio_Nome,Language
spotify,.github,
spotify,aioshumway,Python
spotify,android-auth,HTML
spotify,android-sdk,HTML
spotify,android-store-service,Python
spotify,annoy,C++
spotify,annoy-java,Java
spotify,apollo,Java
spotify,apollo-elide,Java
spotify,apollo-metrics,
spotify,apps-tutorial,
spotify,argo-rollouts,
spotify,async-datastore-client,Java
spotify,async-google-pubsub-client,Java
spotify,backup-utils,Shell
spotify,basic-pitch,Python
spotify,basic-pitch-ts,TypeScript
spotify,batty,Python
spotify,bazel,
spotify,bazel-tools,Java
spotify,beam,Java
spotify,big-data-rosetta-code,Scala
spotify,bigtable-autoscaler,Java
spotify,boilerplate-app,
spotify,bucket-runner,JavaScript
spotify,cartography,Python
spotify,cassandra-extra,Java
spotify,cassandra-medusa,Python
spotify,cassandra-opstools,Java
spotify,cassandra-reaper,
spotify,causify,
spotify,certcheck,Python
spotify,chartify,Python
spotify,code-of-conduct,
spotify,collectd,C
spotify,comet,Python
spotify,comet-common,Python
spotify,comet-core,Python
spotify,completable-futures,Java
spotify,condor,Java
spotify,confidence,Python
spotify,confidence-sdk-android,Kotlin
spotify,confidence-sdk-flutter,Dart
spotify,confidence-sdk-go,Go
spotify,confidence-sdk-java,Java
spotify,confidence-sdk-js,TypeScript
spotify,confidence-sdk-python,Python
spotify,confidence-sdk-rust,Rust
spotify,confidence-sdk-swift,Swift
spotify,container-agent,Python
spotify,conversion-api-tag-template,Smarty
spotify,cookiecutter-golang,Go
spotify,coordinator,HTML
spotify,crtauth,Python
spotify,crtauth-java,Java
spotify,crtauth-java-agent-signer-apache,Java
spotify,crunch-lib,Java
spotify,cstar,Python
spotify,daemon-java,Java
spotify,dataenum,Java
spotify,DataflowJavaSDK,Java
spotify,dataproc-java-submitter,Java
spotify,dataprocxy,Python
spotify,dbeam,Java
spotify,debify,Shell
spotify,dh-virtualenv,Python
spotify,diffuser,Swift
spotify,dns-java,Java
spotify,docgenerator,Java
spotify,docker-alpine,
spotify,docker-bigtable,Go
spotify,docker-cassandra,Shell
spotify,docker-client,Java
spotify,docker-gc,Shell
spotify,docker-kafka,Shell
spotify,docker-maven-plugin,Java
spotify,docker-stress,Python
spotify,dockerfile-maven,Java
spotify,dockerfile-mode,Emacs Lisp
spotify,docker_interface,Python
spotify,drserv,Python
spotify,druid,
spotify,duck,Ruby
spotify,echoprint-codegen,C++
spotify,echoprint-server,Java
spotify,elasticsearch-index-window,Java
spotify,elitzur,Scala
spotify,eslint-config-oss,JavaScript
spotify,etcd,Go
spotify,featran,Scala
spotify,ffwd,Java
spotify,ffwd-client-java,Java
spotify,ffwd-http-client,Java
spotify,ffwd-ruby,Ruby
spotify,flink,Java
spotify,flink-docker,
spotify,flink-on-k8s-operator,Go
spotify,flo,Java
spotify,flume-syslog-source2,Java
spotify,flyte-flink-plugin,Go
spotify,fmt-maven-plugin,Java
spotify,folsom,Java
spotify,foss-root,
spotify,futures-extra,Java
spotify,futuristic-feline,Java
spotify,gcp-audit,Python
spotify,gcp-aws-iam-federation-webidentity,HCL
spotify,gcp-firewall-enforcer,Python
spotify,gcs-tools,Scala
spotify,ghelog,Python
spotify,gimme,Python
spotify,git-test,Shell
spotify,github-java-client,Java
spotify,google-http-java-client,Java
spotify,gordon,Python
spotify,gordon-gcp,Python
spotify,gordon-introspection,Python
spotify,gordon-janitor,Python
spotify,gordon-janitor-gcp,Python
spotify,griffin,Python
spotify,hadoop-openpgp-codec,Java
spotify,hdfs2cass,Java
spotify,helios,Java
spotify,helios-go,Go
spotify,helios-skydns,Java
spotify,heroic,Java
spotify,heroic-client-go,Go
spotify,heroic-client-java,Java
spotify,homebrew-public,Ruby
spotify,hornet,Scala
spotify,HubFramework,Objective-C
spotify,hush-tab,JavaScript
spotify,hype,Java
spotify,hyperflo,Scala
spotify,ieee-spm-vocals-tutorial,Jupyter Notebook
spotify,ios-auth,Objective-C
spotify,ios-ci,Shell
spotify,ios-sdk,Objective-C
spotify,ios-style,
spotify,java-hamcrest,Java
spotify,java-lkk,Java
spotify,java-locales,Java
spotify,jenkins-coverage-poster,Groovy
spotify,jira-lkk-bridge,Java
spotify,JniHelpers,C++
spotify,jsconfeu-2013,JavaScript
spotify,kafka,Scala
spotify,kairosdb,Java
spotify,kernel-common,
spotify,klio,Python
spotify,lemur,Python
spotify,lighthouse-audit-service,TypeScript
spotify,limbo,Scala
spotify,lingon,JavaScript
spotify,linux,C
spotify,logging-java,Java
spotify,luigi,Python
spotify,lyceum,Clojure
spotify,mace,
spotify,magnolify,Scala
spotify,metrics-munin-reporter,Java
spotify,missinglink,Java
spotify,mlockexec,Python
spotify,mobius,Java
spotify,mobius-android-sample,Java
spotify,Mobius.swift,Swift
spotify,moob,Ruby
spotify,netty-batch-flusher,Java
spotify,netty-zmtp,Java
spotify,noether,Scala
spotify,okta-sdk-python,Python
spotify,openfeature-kotlin-sdk,Kotlin
spotify,openfeature-swift-sdk,Swift
spotify,pedalboard,C++
spotify,PeqBank,C
spotify,perf-map-agent,C
spotify,phpconf-argentina-2014,JavaScript
spotify,platform-external-bluetooth-bluez,
spotify,polly-jest-presets,TypeScript
spotify,postgresql-metrics,Python
spotify,proto-registry,TypeScript
spotify,proto-requests,TypeScript
spotify,protoman,Java
spotify,puppet-talos,Puppet
spotify,pyeos,Python
spotify,pyfg,Python
spotify,pyschema,Python
spotify,python-graphwalker,Python
spotify,pythonflow,Python
spotify,pywk,Python
spotify,quickstart,JavaScript
spotify,ratatool,Scala
spotify,react-native-lookback,Objective-C
spotify,reactochart,JavaScript
spotify,realbook,Python
spotify,redux-location-state,JavaScript
spotify,requests-crtauth,Python
spotify,robolectric,Java
spotify,rspec-dns,Ruby
spotify,rspec-dnsruby,Ruby
spotify,ruler,Kotlin
spotify,s3mper,Java
spotify,scanctl,Python
spotify,scio,Scala
spotify,scio-contrib,Scala
spotify,scio-idea-plugin,Scala
spotify,scio.g8,Scala
spotify,sekexe,Shell
spotify,semantic-metrics,Java
spotify,should-up,JavaScript
spotify,shumway,Python
spotify,simple-bigtable,Java
spotify,skydns,
spotify,skygc,Python
spotify,snakebite,Python
spotify,soa-reference-integration,TypeScript
spotify,soundcheck-demo-environment,TypeScript
spotify,spark-bigquery,Scala
spotify,sparkey,C
spotify,sparkey-java,Java
spotify,sparkey-python,Python
spotify,spawn,Java
spotify,spotify-checkstyle-config,
spotify,spotify-heroic-datasource,TypeScript
spotify,spotify-js-challenge,JavaScript
spotify,spotify-json,C++
spotify,spotify-tensorflow,Python
spotify,spotify-web-api-ts-sdk,TypeScript
spotify,spotify-web-playback-sdk-example,JavaScript
spotify,spotify.github.io,HTML
spotify,SpotifyLogin,Swift
spotify,sprunch,Scala
spotify,SPStackedNav,Objective-C
spotify,SPTDataLoader,Objective-C
spotify,SPTPersistentCache,Objective-C
spotify,spydra,Java
spotify,spymaster,Python
spotify,squashing-census-exporter,Kotlin
spotify,ssh-agent-proxy,Java
spotify,ssh-agent-tls,Java
spotify,styx,Java
spotify,super-smash-brogp,Python
spotify,swupdate,
spotify,syslog-redirector,Go
spotify,syslog-redirector-golang,Go
spotify,talos,Ruby
spotify,terraform-gke-kubeflow-cluster,HCL
spotify,terraform-google-aws-hybrid-cloud-vpn,HCL
spotify,terraform-google-grr,HCL
spotify,testing-game,Python
spotify,tfexample-derive,Scala
spotify,tfreader,Scala
spotify,tfx,Python
spotify,threaddump-analyzer,JavaScript
spotify,trickle,Java
spotify,ts-interface-loader,TypeScript
spotify,tutter-jenkins,Ruby
spotify,uboot,
spotify,ulogger,Python
spotify,Vandelay,Java
spotify,vdisk,Python
spotify,vispana,JavaScript
spotify,visualizer-app,
spotify,volcano,Go
spotify,voyager,C++
spotify,wasd,Java
spotify,web-api,RAML
spotify,web-api-examples,HTML
spotify,web-audio-bench,JavaScript
spotify,web-playback-sdk,
spotify,web-scripts,TypeScript
spotify,web-scripts-library-template,TypeScript
spotify,XCMetrics,Swift
spotify,XCRemoteCache,Swift
spotify,zoltar,Java
netflix,.github,
netflix,aegisthus,Java
netflix,af_tsa,C
netflix,aminator,Python
netflix,archaius,Java
netflix,asf-rez-fork,Python
netflix,asgard,Groovy
netflix,astyanax,Java
netflix,atlas,Scala
netflix,atlas-docs,Python
netflix,aws-autoscaling,Shell
netflix,awsobjectmapper,Groovy
netflix,batch_request_api,Ruby
netflix,batch_request_client,Ruby
netflix,bbparse,C
netflix,bettertls,Go
netflix,blesk,JavaScript
netflix,bless,Python
netflix,blitz4j,Java
netflix,bpftop,C
netflix,brutal,Python
netflix,cachemover,C++
netflix,CassJMeter,Java
netflix,chaosmonkey,Go
netflix,Cloud-Prize,
netflix,clove,Python
netflix,codec_compare,Python
netflix,concurrency-limits,Java
netflix,conductor,Java
netflix,conductor-community,Java
netflix,conductor-docs,Python
netflix,conductor-ui,JavaScript
netflix,consoleme,Python
netflix,curator,Java
netflix,denominator,Java
netflix,derand,Java
netflix,dgs,HTML
netflix,dgs-codegen,Kotlin
netflix,dgs-examples-java,Java
netflix,dgs-examples-java-2.7,Java
netflix,dgs-examples-java.latest,Java
netflix,dgs-examples-java16,Java
netflix,dgs-examples-kotlin,Kotlin
netflix,dgs-examples-kotlin-2.7,Kotlin
netflix,dgs-examples-webflux,Java
netflix,dgs-federation-example,Kotlin
netflix,dgs-framework,Kotlin
netflix,dgs-intellij-plugin,Kotlin
netflix,dial-reference,C
netflix,dispatch,Python
netflix,dispatch-docker,Shell
netflix,dyno,Java
netflix,dyno-queues,Java
netflix,dynomite,C
netflix,dynomite-manager,Java
netflix,e2nest,Python
netflix,eclipse-jifa,Java
netflix,eclipse-mat,
netflix,edda,Scala
netflix,edda-client,Java
netflix,element-server,JavaScript
netflix,ember-batch-request,JavaScript
netflix,ember-nf-graph,JavaScript
netflix,ember-nf-graph-examples,JavaScript
netflix,eslint-config-netflix,Shell
netflix,eslint-plugin-x-element,JavaScript
netflix,eureka,Java
netflix,eureka-ui,JavaScript
netflix,EVCache,Java
netflix,fabricator,Java
netflix,falcor,JavaScript
netflix,falcor-datasource-chainer,JavaScript
netflix,falcor-express,JavaScript
netflix,falcor-express-demo,HTML
netflix,falcor-hapi,JavaScript
netflix,falcor-hapi-demo,HTML
netflix,falcor-http-datasource,JavaScript
netflix,falcor-json-graph,JavaScript
netflix,falcor-observable,JavaScript
netflix,falcor-path-syntax,JavaScript
netflix,falcor-path-utils,JavaScript
netflix,falcor-restify,JavaScript
netflix,falcor-restify-demo,HTML
netflix,falcor-router,JavaScript
netflix,falcor-router-demo,JavaScript
netflix,fast_jsonapi,Ruby
netflix,Fenzo,Java
netflix,Fido,C#
netflix,flamescope,Python
netflix,frigga,Java
netflix,genie,Java
netflix,glisten,Groovy
netflix,go-env,Go
netflix,go-expect,Go
netflix,go-iomux,Go
netflix,governator,Java
netflix,gradle-template,Java
netflix,hal-9001,Go
netflix,hollow,Java
netflix,hollow-reference-implementation,Java
netflix,hubcommander,Python
netflix,Hystrix,Java
netflix,iceberg,Java
netflix,iceberg-python,Python
netflix,iep,Java
netflix,iep-shadow,
netflix,image_compression_comparison,Python
netflix,inviso,JavaScript
netflix,karyon,Java
netflix,lemur,Python
netflix,lemur-docker,Python
netflix,libamicontained,Rust
netflix,Lipstick,JavaScript
netflix,maestro,Java
netflix,mantis,Java
netflix,mantis-api,Java
netflix,mantis-cli,JavaScript
netflix,mantis-connectors,Java
netflix,mantis-control-plane,Java
netflix,mantis-examples,Java
netflix,mantis-gradle-plugin,Groovy
netflix,mantis-helm,Smarty
netflix,mantis-mql,Clojure
netflix,mantis-rxcontrol,Java
netflix,mantis-rxnetty,
netflix,mantis-source-jobs,Java
netflix,mantis-ui,TypeScript
netflix,matchcut,Jupyter Notebook
netflix,metacat,Java
netflix,metaflow,Python
netflix,metaflow-docs,JavaScript
netflix,metaflow-extensions-template,Python
netflix,metaflow-nflx-extensions,Python
netflix,metaflow-service,Python
netflix,metaflow-tools,HCL
netflix,metaflow-ui,TypeScript
netflix,metrics-client-go,Go
netflix,msl,C++
netflix,ndbench,HTML
netflix,nerror,JavaScript
netflix,netflix-commons,Java
netflix,netflix-graph,Java
netflix,netflix.github.com,HTML
netflix,netflixoss-npm-build-infrastructure,
netflix,nf-data-explorer,TypeScript
netflix,nflx-geofeed,
netflix,nflxprofile,Python
netflix,NfWebCrypto,C++
netflix,Nicobar,Java
netflix,ocelli,Java
netflix,octodns,
netflix,octodns-ns1,Python
netflix,octodns-route53,
netflix,octodns-ultra,Python
netflix,OpenVPCal,Python
netflix,osstracker,Scala
netflix,p2plab,Go
netflix,photon,Java
netflix,PigPen,Clojure
netflix,pollyjs,JavaScript
netflix,polynote,HTML
netflix,Prana,Java
netflix,Priam,Java
netflix,probnik,TypeScript
netflix,pygenie,Python
netflix,pytheas,JavaScript
netflix,q,Java
netflix,Raigad,Java
netflix,ReactiveLab,Java
netflix,reactivesocket-examples,Java
netflix,read_bbrlog,C
netflix,recipes-rss,Java
netflix,rend,Go
netflix,rend-http,Go
netflix,rend-lmdb,Go
netflix,repokid,Python
netflix,restful-jsonapi,Ruby
netflix,ribbon,Java
netflix,runtime-health,Java
netflix,rx-aws-java-sdk,Java
netflix,s3mper,Java
netflix,security-bulletins,
netflix,security_monkey,Python
netflix,servo,Java
netflix,sherlock,R
netflix,signal-wrapper,Go
netflix,SimianArmy,Java
netflix,sleepy-puppy-docker,Dockerfile
netflix,spark,Scala
netflix,spectator,Java
netflix,spectator-cpp,C++
netflix,spectator-go,Go
netflix,spectator-go-runtime-metrics,Go
netflix,spectator-js,TypeScript
netflix,spectator-py,Python
netflix,spectator-py-runtime-metrics,Python
netflix,spectator-rb,Ruby
netflix,staash,Java
netflix,sureal,Python
netflix,suro,Java
netflix,Surus,Java
netflix,taskintrospection,C
netflix,tcplog_dumper,C
netflix,techreports,
netflix,titus,
netflix,titus-api-definitions,Makefile
netflix,titus-control-plane,Java
netflix,titus-executor,Go
netflix,titus-kube-common,Go
netflix,tslint-config-netflix,JavaScript
netflix,Turbine,Java
netflix,unleash,JavaScript
netflix,user2020-metaflow-tutorial,R
netflix,vector,JavaScript
netflix,vectorflow,D
netflix,videoannotator,Jupyter Notebook
netflix,virtual-kubelet,Go
netflix,vizceral,JavaScript
netflix,vizceral-component,JavaScript
netflix,vizceral-example,JavaScript
netflix,vizceral-react,JavaScript
netflix,vmaf,Python
netflix,vmaf_resource,
netflix,vp9-dash,
netflix,webpack-parse-query,JavaScript
netflix,weep,Go
netflix,Workflowable,Ruby
netflix,x-element,JavaScript
netflix,x-test,JavaScript
netflix,yetch,JavaScript
netflix,zeno,Java
netflix,zuul,Java
apple,.github,
apple,app-store-server-library-java,Java
apple,app-store-server-library-node,TypeScript
apple,app-store-server-library-python,Python
apple,app-store-server-library-swift,Swift
apple,apple-llvm-infrastructure-tools,C++
apple,apple_rules_lint,Starlark
apple,ARKitScenes,Python
apple,AudioUnit-Examples,Swift
apple,AudioUnitSDK,C++
apple,axlearn,Python
apple,batch-processing-gateway,Java
apple,ccs-caldavclientlibrary,HTML
apple,ccs-caldavtester,Python
apple,ccs-calendarserver,Python
apple,ccs-pycalendar,Python
apple,ccs-pykerberos,C
apple,ccs-pyopendirectory,C++
apple,ccs-pyosxframeworks,Python
apple,ccs-pysecuretransport,Python
apple,ccs-twistedextensions,Python
apple,container,Swift
apple,container-builder-shim,Go
apple,containerization,Swift
apple,coremltools,Python
apple,corenet,Jupyter Notebook
apple,cups,C
apple,darwin-libplatform,C
apple,darwin-libpthread,C
apple,darwin-xnu,C
apple,device-management,
apple,dmel,Python
apple,dmel-demo,HTML
apple,dnikit,Python
apple,eidas,Go
apple,embedding-atlas,TypeScript
apple,example-package-fisheryates,Swift
apple,FHIRModels,Swift
apple,foundationdb,C++
apple,fstools,C
apple,game-center-tools,Python
apple,GCGC,Jupyter Notebook
apple,homebrew-apple,Ruby
apple,HomeKitADK,C
apple,learning-compressible-subspaces,Python
apple,learning-subspaces,Python
apple,llvm-monorepo-root,
apple,llvm-project-v5,C++
apple,llvm-project-v5-split,C++
apple,ml-4m,Python
apple,ml-acn-embed,Python
apple,ml-act,Python
apple,ml-ademamix,Python
apple,ml-afv,Python
apple,ml-agm,Python
apple,ml-aim,Python
